POA_CODE_2021,SA2_CODE_2021,SA2_NAME_2021
7315,604011083,West Ulverstone
7310,604011083,West Ulverstone
2762,116021633,Stanhope Gardens - Parklea
2145,116011627,Toongabbie - West
2178,127021518,Horsley Park - Kemps Creek
4034,302011026,McDowall
2914,801041038,Forde
5038,403021062,Morphettville
4051,305031123,Grange
4871,315011396,Cape York
5279,407021158,Wattle Range
2207,119031664,Hurstville - Central
4401,307021180,Jondaryan
2398,110031196,Moree Surrounds
2171,127011505,Austral - Greendale
2875,103041079,Orange Surrounds
2803,101061544,Young Surrounds
5322,406021141,Outback
5311,406021141,Outback
3374,215011387,Ararat Surrounds
3700,204031075,Yackandandah
2170,127031733,Prestons
4723,308031213,Norman Gardens
2828,105031103,Dubbo Surrounds
5605,406011132,Le Hunte - Elliston
5501,405011113,Mallala
2323,111021218,Morisset - Cooranbong
3356,201011481,Ballarat East - Warrenheip
3300,217011420,Glenelg (Vic.)
3978,212031457,Narre Warren South - East
4374,317011450,Highfields
2160,125021477,Ermington - Rydalmere
4805,312011337,Bowen
2346,110031198,Narrabri Surrounds
7140,601031013,Austins Ferry - Granton
2136,120031393,Croydon Park - Enfield
6630,511041292,Northampton - Mullewa - Greenough
3962,205031087,Foster
2656,113031268,Wagga Wagga - North
3351,201011007,Smythes Creek
4740,312021354,Shoal Point - Bucasia
4370,307021182,Pittsworth
2827,105031106,Wellington
3196,208031186,Chelsea - Bonbeach
2604,801061131,Kingston (ACT)
3219,203021043,Lara
3975,212031306,Lynbrook - Lyndhurst
5256,407011147,Strathalbyn Surrounds
2320,106011107,Branxton - Greta - Pokolbin
4357,307011174,Inglewood - Waggamba
2876,103021068,Parkes Surrounds
3225,203021044,Leopold
3191,208011172,Hampton
4871,306051166,Atherton
2099,122031694,Dee Why (South) - North Curl Curl
4068,304031097,Taringa
4066,304031097,Taringa
2031,118021565,Kingsford
3030,213051579,Manor Lakes - Quandong
4102,305011108,Kangaroo Point
2617,801011009,Flynn (ACT)
5552,405041127,Yorke Peninsula - North
2822,105011095,Nyngan - Warren
3134,211031266,Ringwood
2221,119041379,Kogarah Bay - Carlton - Allawah
5152,401021004,Aldgate - Stirling
2900,801111141,Namadgi
6110,506041135,Huntingdale - Southern River
6309,509031250,Wagin
3139,211051283,Mount Evelyn
2485,112031551,Terranora - North Tumbulgum
2290,111011207,Belmont South - Blacksmiths
2290,111011206,Belmont - Bennetts Green
4352,317011457,Toowoomba - East
3186,208011170,Brighton East
3053,206041124,Parkville
2130,120031395,Haberfield - Summer Hill
2160,125031483,Guildford - South Granville
2111,126021498,Gladesville - Huntleys Point
2115,126021503,West Ryde - Meadowbank
2382,110031196,Moree Surrounds
3544,215031404,Swan Hill
3341,201021009,Bacchus Marsh Surrounds
6025,505011070,Craigie - Beldon
2472,112021249,Lismore Surrounds
5211,407011149,Yankalilla
6077,505031303,Hocking - Pearsall
3550,202011023,Maiden Gully
5606,406011132,Le Hunte - Elliston
3123,207011152,Hawthorn East
4346,310021277,Boonah
2322,106011108,Cessnock
7008,601051033,West Hobart
5238,407031161,Karoonda - Lameroo
2900,101021610,Googong
7316,604011078,Parklands - Camdale
4151,303031063,Mount Gravatt
2489,112031253,Pottsville
3334,201011007,Smythes Creek
3355,201011005,Buninyong
2065,121041416,Neutral Bay - Kirribilli
2153,116021631,Schofields (West) - Colebee
3350,201021012,Gordon (Vic.)
2739,109021178,Wentworth - Buronga
4285,311041569,Greenbank - North Maclean
0870,702011045,Charles
2586,101061542,Yass Surrounds
2100,122031430,Manly Vale - Allambie Heights
3740,204031069,Bright - Mount Beauty
2848,103031071,Lithgow Surrounds
7140,601011002,Brighton - Pontville
3156,212021454,Endeavour Hills - South
6100,506021123,Victoria Park - Lathlain - Burswood
7303,602021056,Hadspen - Carrick
2347,110041205,Tamworth Surrounds
2199,119011571,Bankstown - North
2818,105011096,Walgett - Lightning Ridge
6003,503021296,Perth (North) - Highgate
2131,120031678,Burwood (NSW)
5560,405041127,Yorke Peninsula - North
3458,204011062,Yea
3758,204011060,Seymour Surrounds
3358,201031015,Golden Plains - North
5481,405031120,Jamestown
7250,602011045,Ravenswood
3750,209041528,Doreen - South
6489,509021242,Mukinbudin
2615,801011144,West Belconnen
3555,202021029,Heathcote
5271,407021156,Penola
2141,125011475,Rookwood Cemetery
4358,307031184,Clifton - Greenmount
3031,206031115,Flemington
2502,107011545,Berkeley - Lake Heights - Cringila
2528,107011547,Windang - Primbee
4723,308031219,Rockhampton Surrounds - North
4078,303051072,Algester
5606,406011130,Eyre Peninsula
2747,124051581,St Marys - North St Marys
3156,211051274,Belgrave - Selby
2555,127011597,West Hoxton - Middleton Grange
2752,124031463,Mulgoa - Luddenham - Orchard Hills
3072,209021524,Reservoir - North West
2154,115011558,Cherrybrook
3310,217011423,Southern Grampians
3805,212021456,Narre Warren - South West
3833,205011078,Trafalgar (Vic.)
4270,311051324,Cornubia - Carbrook
4702,308031213,Norman Gardens
4131,311031314,Crestmead
3620,216031415,Mooroopna
4151,303021055,Greenslopes
3351,201021010,Creswick - Clunes
6436,511031283,Leinster - Leonora
4405,319021506,Kingaroy Surrounds - North
6038,505031258,Yanchep
6612,511041290,Meekatharra
7012,601031014,Berriedale - Chigwell
2155,116021631,Schofields (West) - Colebee
3364,201021012,Gordon (Vic.)
5154,403041075,Clarendon
2820,105031106,Wellington
4013,302021031,Kedron - Gordon Park
3480,202031033,Loddon
4816,318021484,Mount Louisa
3146,208041195,Malvern East
4417,307011177,Roma Surrounds
3981,212011289,Emerald - Cockatoo
7018,601021011,Rokeby
3741,204031069,Bright - Mount Beauty
2760,116031316,Lethbridge Park - Tregear
4721,308031212,Mount Morgan
3977,212031556,Clyde North - South
3621,109031184,Moama
2878,109021177,Hay
2666,101061543,Young
2785,103011061,Oberon
4506,313021573,Caboolture - West
2472,112011237,Ballina Surrounds
0820,701011004,Fannie Bay - The Gardens
2602,801051054,Dickson
4272,309071557,Upper Coomera - North
3711,204011054,Alexandra
2619,801101139,Wright
4802,312021344,Eimeo - Rural View
2756,124041466,Richmond - Clarendon
5214,407031166,Murray Bridge Surrounds
6392,509031250,Wagin
4068,305041137,Toowong
2257,102011029,Box Head - MacMasters Beach
2582,801011142,Macnamara
6076,506051139,High Wycombe
4860,306031159,Innisfail
4721,308041528,Banana
4821,318011462,Charters Towers
2913,801041046,Ngunnawal
3193,208011173,Sandringham - Black Rock
2146,125031715,Pemulwuy - Greystanes (North)
5950,404031104,Adelaide Airport
4816,306051169,Malanda - Yungaburra
4706,308031219,Rockhampton Surrounds - North
4377,307031186,Southern Downs - West
4152,301031017,Murarrie
2617,801011016,Kaleen
4365,307031185,Southern Downs - East
6105,506051138,Forrestfield - Wattle Grove
3550,202011018,Bendigo
2787,103041079,Orange Surrounds
3722,204011057,Mansfield (Vic.)
2737,109021179,Wentworth-Balranald Region
3073,209021526,Reservoir - South West
3219,203011035,Golden Plains - South
2131,120031681,Strathfield - West
5723,406011135,Western
2653,113021260,Tumbarumba
7277,602021055,Grindelwald - Lanena
4701,308031223,Yeppoon
2475,104011081,Grafton Surrounds
0845,702031060,Tiwi Islands
2168,127011504,Ashcroft - Busby - Miller
3153,211031263,Bayswater North
3350,201011482,Ballarat North - Invermay
4053,302021032,Stafford
6059,505021090,Nollamara - Westminster
7249,602011047,South Launceston
4559,316071546,Diddillibah - Rosemount
6537,511041287,Geraldton - North
2164,125031713,Greystanes - South
2143,125011587,Regents Park
2127,125011587,Regents Park
2787,103011613,Bathurst - West
6008,503021038,Mount Hawthorn - Leederville
4490,307011174,Inglewood - Waggamba
2877,103021065,Forbes
3312,215011393,West Wimmera
6337,509011235,Stirling Range National Park
7150,603021069,Bruny Island - Kettering
2481,112011240,Byron Bay
0835,701031034,Virginia
3063,210021232,Gisborne
3427,210041540,Sunbury - South
4871,306031163,Yarrabah
3515,202031033,Loddon
4346,310031288,Ipswich - North
4103,303021059,Yeronga
2282,111011208,Charlestown - Dudley
2787,103031071,Lithgow Surrounds
3977,212031555,Clyde North - North
4011,305031122,Clayfield
3442,204011062,Yea
0837,701021017,East Arm
3135,211031268,Ringwood North
3175,212041312,Dandenong North
6487,509021242,Mukinbudin
5132,402051051,Highbury - Dernancourt
6230,501021012,Eaton - Pelican Point
3515,202021029,Heathcote
4819,318021483,Magnetic Island
3078,206021499,Northcote - East
6170,507031261,Casuarina - Wandi
3763,209031211,Kinglake
4888,315011400,Tablelands
2900,801081098,Weston
5356,405011111,Light
4655,319051523,Granville
2846,103031073,Mudgee Surrounds - East
3062,210051246,Greenvale - Bulla
2390,110031196,Moree Surrounds
2088,121041688,Mosman - North
4217,309101268,Bundall
2914,801041118,Jacka
4516,313021367,Elimbah
3351,203011035,Golden Plains - South
3271,217041478,Moyne - West
4069,304021091,Pinjarra Hills - Pullenvale
4810,318021469,Belgian Gardens - Pallarenda
4034,302011023,Bridgeman Downs
3896,205051099,Alps - West
3027,213051363,Laverton
2231,128011604,Cronulla - Kurnell - Bundeena
2212,119011656,Greenacre - South
6021,505021090,Nollamara - Westminster
5303,407031161,Karoonda - Lameroo
2039,120021387,Balmain
2227,128011531,Sylvania - Taren Point
2285,111031224,Hamilton - Broadmeadow
2429,108051169,Taree
5120,402021035,Virginia - Waterloo Corner
3873,205051104,Yarram
4512,313021367,Elimbah
4487,307011177,Roma Surrounds
4601,319031515,Kilkivan
2474,110021194,Tenterfield
7015,603011067,Southern Midlands
4402,307011174,Inglewood - Waggamba
4613,307011172,Chinchilla
5235,401021003,Adelaide Hills
3809,212031557,Cranbourne East - North
5583,405041127,Yorke Peninsula - North
4720,308031215,Parkhurst - Kawana
4309,310021280,Lockyer Valley - East
4110,303061078,Runcorn
3175,212041460,Noble Park - West
0840,702031057,Alligator
3556,202021029,Heathcote
3463,202021029,Heathcote
3446,202021029,Heathcote
4060,302011025,Everton Park
4380,317011458,Toowoomba - West
2825,105011094,Coonamble
2541,114011280,Sussex Inlet - Berrara
2557,123021437,Campbelltown - Woodbine
3016,213021344,Newport
4121,303011051,Carindale
3549,215031405,Swan Hill Surrounds
7009,601051027,Hobart
2099,122031425,Cromer
5264,401021008,Mount Barker Surrounds
4385,110021192,Inverell Surrounds - East
7150,603021072,Huonville - Franklin
2541,114011278,Nowra
5320,407031170,Waikerie
3379,201011006,Delacombe
3058,209021429,Preston - West
4821,318021475,Garbutt - West End
7116,603021071,Geeveston - Dover
3216,203021042,Highton
5724,406021138,APY Lands
2209,119011655,Greenacre - North
2550,101041019,Bega - Tathra
4184,301021550,North Stradbroke Island
2830,105011092,Bourke - Brewarrina
6229,501021015,East Bunbury - Glen Iris
3965,205031087,Foster
2615,801011010,Fraser
4270,311041571,Yarrabilba
2144,125011585,Berala
5521,405031123,Port Pirie Surrounds
2795,103011612,Bathurst - South
5333,407031162,Loxton
5311,407031162,Loxton
3364,201011007,Smythes Creek
4400,307021182,Pittsworth
0846,701031034,Virginia
4816,318011465,Ingham Surrounds
3044,210031537,Oak Park
3340,213041572,Cobblebank - Strathtulloh
2790,103011059,Bathurst - East
2607,801091104,Isaacs
2102,122031432,Terrey Hills - Duffys Forest
4111,303041070,Salisbury - Nathan
4066,304021088,Chapel Hill
4210,309041241,Guanaba - Springbrook
7310,604011077,Burnie - Wivenhoe
2263,102021055,Tuggerah - Kangy Angy
3701,205021082,Bruthen - Omeo
3335,213051590,Wyndham Vale - South
2817,105011096,Walgett - Lightning Ridge
3137,211051280,Montrose
2609,801101139,Wright
7017,601021008,Lindisfarne - Rose Bay
4740,312021348,Mount Pleasant - Glenella
2040,120021675,Leichhardt
2284,111021215,Bolton Point - Teralba
6059,505021302,Dianella - South
6721,510021270,South Hedland
4702,308041528,Banana
2327,106021616,Rutherford (South) - Telarah
3025,213021344,Newport
3033,210011228,Keilor
4820,308011191,Central Highlands - West
3412,215011389,Horsham Surrounds
6306,509031246,Brookton
2618,801011021,McKellar
4207,311021309,Mount Warren Park
4374,307021180,Jondaryan
2913,801041118,Jacka
2617,801011017,Latham
2582,801041043,Hall
3360,203011035,Golden Plains - South
2410,110021193,Inverell Surrounds - West
5342,405031121,Peterborough - Mount Remarkable
4013,302031039,Nudgee - Banyo
5353,405011110,Barossa - Angaston
4671,319011499,Bundaberg Surrounds - South
2174,123021705,Ingleburn
4306,317011451,Lockyer Valley - West
3196,208031187,Chelsea Heights
3579,215031402,Kerang
2840,105011092,Bourke - Brewarrina
3666,204011059,Seymour
3434,210021234,Riddells Creek
6156,507041181,Melville
4756,312021345,Eungella Hinterland
2551,101041023,Eden
3275,217041478,Moyne - West
4706,308031207,Emu Park
2879,105021097,Broken Hill
4064,305041134,Bardon
2117,125021711,Carlingford - East
2653,113031268,Wagga Wagga - North
2711,113031271,Wagga Wagga Surrounds
3083,209041217,Bundoora - West
3341,213041573,Eynesbury - Exford
2470,112021245,Casino Surrounds
2463,112021244,Casino
4419,307011177,Roma Surrounds
6442,511031282,Kambalda - Coolgardie - Norseman
3490,215021398,Mildura Surrounds
2600,801051127,Reid
2800,103041076,Blayney
2791,103041076,Blayney
2218,119041378,Kogarah
4285,311011305,Beaudesert
4872,306051166,Atherton
3559,202011024,Strathfieldsaye
3898,205021082,Bruthen - Omeo
3572,202031032,Bendigo Surrounds - North
4556,316061444,Palmwoods
0820,701011009,Woolner - Bayview - Winnellie
4705,308031215,Parkhurst - Kawana
4816,318021474,Douglas
4871,315011397,Croydon - Etheridge
2762,124041466,Richmond - Clarendon
7249,602011045,Ravenswood
6229,501021251,Dalyellup
2206,119021662,Earlwood
4104,303041071,Tarragindi
2171,127021509,Bonnyrigg Heights - Bonnyrigg
3639,109031183,Deniliquin Surrounds
4874,315011401,Torres
3004,206051511,Port Melbourne Industrial
5152,403031065,Belair
6083,504031060,Gidgegannup
4721,312011339,Clermont
7005,601051027,Hobart
7008,601051027,Hobart
2481,112011236,Ballina
4380,307021180,Jondaryan
6158,507021164,East Fremantle
4012,305031131,Wooloowin - Lutwyche
3222,203021486,Corio - Lovely Banks
5353,407031170,Waikerie
2076,115011554,Castle Hill - East
2082,115021298,Galston - Laughtondale
4019,313051379,Redcliffe
3331,203021042,Highton
3234,203021042,Highton
6614,511041291,Morawa
3823,205011078,Trafalgar (Vic.)
5417,405031121,Peterborough - Mount Remarkable
2196,119021367,Roselands
3331,203021040,Geelong West - Hamlyn Heights
2489,112031254,Tweed Heads
3076,209041220,Mill Park - North
2171,127011504,Ashcroft - Busby - Miller
6164,507011158,North Coogee
2251,102011032,Gosford - Springfield
3356,201021010,Creswick - Clunes
0872,406021138,APY Lands
6157,507041181,Melville
2632,101041025,Merimbula - Tura Beach
4314,310031289,Karalee - Barellan Point
5064,401071024,Unley - Parkside
2732,215031401,Gannawarra
2289,111031224,Hamilton - Broadmeadow
3927,214021379,Hastings - Somers
2836,105021097,Broken Hill
2763,116021631,Schofields (West) - Colebee
2756,116021631,Schofields (West) - Colebee
5172,403041075,Clarendon
2118,125021711,Carlingford - East
2701,113031271,Wagga Wagga Surrounds
4874,315011398,Kowanyama - Pormpuraaw
4121,303021059,Yeronga
4820,318021583,Deeragun - Jensen
3106,207021160,Templestowe Lower
4568,316081549,Noosa Hinterland
2335,106011110,Dungog
4757,312021353,Seaforth - Calen
3094,209011202,Montmorency - Briar Hill
3900,205021082,Bruthen - Omeo
3988,205011077,Mount Baw Baw Region
2280,111011213,Valentine - Eleebana
3523,204011062,Yea
3174,212041459,Noble Park - East
2010,117031336,Surry Hills
2251,102011029,Box Head - MacMasters Beach
3568,109031183,Deniliquin Surrounds
4816,306031160,Johnstone
3188,208011173,Sandringham - Black Rock
2267,111011214,Warners Bay - Boolaroo
2557,127011728,Leppington - Catherine Field
3268,217031475,Corangamite - South
3226,203021047,North Geelong - Bell Park
3329,203011035,Golden Plains - South
4121,303021052,Annerley
3700,204031072,Towong
3276,217041477,Moyne - East
3273,217041478,Moyne - West
4220,309011229,Miami
2049,120031394,Dulwich Hill - Lewisham
7000,601031021,West Moonah
7017,601031020,New Norfolk
2087,122031427,Forestville - Killarney Heights
2535,114011272,Berry - Kangaroo Valley
2827,105031103,Dubbo Surrounds
5633,406011132,Le Hunte - Elliston
3125,207011150,Glen Iris - East
2340,110041204,Tamworth - West
5724,406011131,Kimba - Cleve - Franklin Harbour
5715,406021140,Quorn - Lake Gilles
2199,119011656,Greenacre - South
3213,203031490,Ocean Grove
2228,128011531,Sylvania - Taren Point
4030,305031130,Windsor
4125,311041571,Yarrabilba
3525,215031401,Gannawarra
3793,211051282,Mount Dandenong - Olinda
3460,202021030,Kyneton
5244,407031164,Mannum
4105,303021056,Holland Park
2142,125031716,South Wentworthville
3451,202031033,Loddon
2324,106031122,Raymond Terrace
5115,402011025,Gawler - North
5150,403031069,Mitcham (SA)
2611,801081094,Holder
4005,305011106,Fortitude Valley
5154,407011146,Strathalbyn
2263,102021057,Wyong
5642,406011131,Kimba - Cleve - Franklin Harbour
3103,207011155,Surrey Hills (West) - Canterbury
6000,503021297,Perth (West) - Northbridge
2172,127031524,Holsworthy - Wattle Grove
7170,601021005,Cambridge
4720,308031206,Bouldercombe
5255,407031166,Murray Bridge Surrounds
2292,111031222,Adamstown - Kotara
2647,109031181,Corowa Surrounds
0852,702031057,Alligator
2540,114011274,Culburra Beach
6233,501021012,Eaton - Pelican Point
2822,105011094,Coonamble
4105,303041068,Moorooka
3109,207021425,Doncaster East - South
4704,308031219,Rockhampton Surrounds - North
2410,110021191,Inverell
3044,210031440,Hadfield
3044,206011109,Pascoe Vale South
5008,404021102,The Parks
3217,203031053,Torquay
4859,315021404,Carpentaria
4895,315021404,Carpentaria
5340,407031168,Renmark Surrounds
3059,210051545,Roxburgh Park - North
2671,103021069,West Wyalong
2487,112031251,Murwillumbah
4815,318021486,Northern Beaches
2153,125041494,Winston Hills
5098,402031175,Northgate - Northfield
2176,127021514,Edensor Park
5277,407021173,Mount Gambier - East
5290,407021173,Mount Gambier - East
4553,316061442,Landsborough
5043,403021058,Edwardstown
2758,115041301,Pitt Town - McGraths Hill
5633,406011131,Kimba - Cleve - Franklin Harbour
2076,121021406,Normanhurst - Thornleigh - Westleigh
3355,201011482,Ballarat North - Invermay
3805,212031457,Narre Warren South - East
4179,301031020,Wynnum
4025,313051575,Scarborough - Newport
4178,301021550,North Stradbroke Island
3227,203031490,Ocean Grove
2583,101021610,Googong
4702,308031221,Shoalwater Bay
4005,305031126,Kelvin Grove - Herston
4051,305031130,Windsor
3388,215011391,St Arnaud
4128,311061332,Rochedale South - Priestdale
2795,106041129,Scone Surrounds
4075,304011084,Seventeen Mile Rocks - Sinnamon Park
2526,107011132,Horsley - Kembla Grange
2292,111011209,Glendale - Cardiff - Hillsborough
2289,111011209,Glendale - Cardiff - Hillsborough
4512,313021369,Wamuran
7306,604021091,Sheffield - Railton
4164,301021013,Victoria Point
4671,319011502,Walkervale - Avenell Heights
3629,216031593,Kialla
4671,319021504,Gin Gin
3448,202021028,Castlemaine Surrounds
4213,309041242,Tamborine - Canungra
4223,309051243,Currumbin Valley - Tallebudgera
6003,503021037,Kings Park (WA)
3241,203011036,Winchelsea
3075,209041529,Lalor - East
7331,604031095,Smithton
4814,318021482,Kirwan - West
2211,119011358,Padstow
2031,118021570,Randwick - South
4821,318021474,Douglas
6722,510021270,South Hedland
2713,109031183,Deniliquin Surrounds
7009,601051030,New Town
2359,110021191,Inverell
3220,203021046,Newtown (Vic.)
4032,302021033,Stafford Heights
5272,407021158,Wattle Range
2371,110021192,Inverell Surrounds - East
2867,103041079,Orange Surrounds
4850,318021486,Northern Beaches
3690,113021260,Tumbarumba
4871,306051167,Herberton
2464,104011081,Grafton Surrounds
2032,117011323,Pagewood - Hillsdale - Daceyville
5118,402011025,Gawler - North
2756,115041301,Pitt Town - McGraths Hill
2320,106021618,Thornton - Millers Forest
2762,124041467,Windsor - Bligh Park
3450,202021027,Castlemaine
6431,511031283,Leinster - Leonora
2292,111031235,Wickham - Carrington - Tighes Hill
5160,403041082,Lonsdale
7030,602031061,Northern Midlands
4870,306011141,Redlynch
6102,506021119,East Victoria Park - Carlisle
3938,214021383,Point Nepean
4721,308031210,Gracemere
4054,314011387,Samford Valley
4053,305031120,Alderley
2835,103021062,Condobolin
6035,505031257,Two Rocks
3063,210051442,Craigieburn - North
3567,215031401,Gannawarra
5343,407031162,Loxton
2650,113031268,Wagga Wagga - North
2337,106041129,Scone Surrounds
3430,210041240,Sunbury
2666,113031268,Wagga Wagga - North
4280,311041568,Flagstone (West) - New Beith
2068,121011399,Chatswood (West) - Lane Cove North
5168,403041177,Seaford - Seaford Meadows
7260,602031100,Scottsdale - Bridport
3224,203021045,Newcomb - Moolap
2429,108041165,Port Macquarie Surrounds
4407,307011174,Inglewood - Waggamba
3505,215021396,Merbein
4406,307011172,Chinchilla
6566,509021243,Northam
5270,407021157,Tatiara
4506,313021572,Caboolture - East
2209,119031373,Riverwood
3044,210031236,Coburg North
4715,308011191,Central Highlands - West
2226,128021609,Woronora Heights
3977,214011376,Skye - Sandhurst
3371,201011008,Wendouree - Miners Rest
3610,204011054,Alexandra
2040,120021674,Annandale (NSW)
4816,306031161,Tully
2754,124041466,Richmond - Clarendon
4723,308041529,Biloela
3754,209041527,Doreen - North
2731,109031183,Deniliquin Surrounds
2762,115031299,Bilpin - Colo - St Albans
2357,105031099,Coonabarabran
2232,128011529,Gymea - Grays Point
2150,125031483,Guildford - South Granville
4872,315011400,Tablelands
4850,315011400,Tablelands
4208,309071557,Upper Coomera - North
4165,311051325,Loganholme - Tanah Merah
3804,212021293,Berwick - North
4421,307021180,Jondaryan
2024,118011339,Bondi - Tamarama - Bronte
4214,309091540,Southport - North
2487,112031252,Murwillumbah Surrounds
5210,401021008,Mount Barker Surrounds
3371,217031474,Corangamite - North
2260,102011031,Erina - Green Point
6355,509031247,Kulin
2630,101031016,Jindabyne - Berridale
5042,403031066,Bellevue Heights
5482,405031121,Peterborough - Mount Remarkable
5481,405031121,Peterborough - Mount Remarkable
4113,303061078,Runcorn
5117,402021033,One Tree Hill
4550,316061439,Beerwah
3607,204011058,Nagambie
6440,702011052,Sandover - Plenty
3136,211031450,Croydon - East
4025,313051574,Moreton Island
3218,203031490,Ocean Grove
3463,202011025,White Hills - Ascot
4816,306011139,Clifton Beach - Kewarra Beach
6105,506021118,Belmont - Ascot - Redcliffe
3607,216031419,Shepparton Surrounds - West
7023,601021012,South Arm
6147,506041132,Beckenham - Kenwick - Langford
4170,303011048,Cannon Hill
2479,112011240,Byron Bay
2111,125021711,Carlingford - East
4815,318011466,Palm Island
4798,312021353,Seaforth - Calen
6083,509021244,Toodyay
6214,502011029,Pinjarra
2578,101051540,Goulburn Surrounds
2611,801011006,Dunlop
3335,213041575,Hillside
4800,312031359,Airlie - Whitsundays
4165,301021009,Redland Bay
3232,203031049,Lorne - Anglesea
4209,309071556,Upper Coomera (South) - Wongawallan
2131,120031679,Croydon
2831,105031102,Dubbo - West
2031,118021569,Randwick - North
2519,107041549,Wollongong - West
4870,306021145,Cairns City
5157,401021005,Hahndorf - Echunga
2618,801101146,Whitlam
3335,213051583,Tarneit - Central
6032,505031099,Butler - Merriwa - Ridgewood
4053,305031129,Wilston
6163,507011153,Coolbellup
3266,217031475,Corangamite - South
3370,201031017,Maryborough Surrounds
2154,115011556,Castle Hill - South
3226,217031476,Otway
2145,116011561,Blacktown - West
5254,401021008,Mount Barker Surrounds
2663,113011259,Narrandera
3271,203011035,Golden Plains - South
4818,318021486,Northern Beaches
2470,104011081,Grafton Surrounds
4701,308031209,Glenlee - Rockyview
4615,319021506,Kingaroy Surrounds - North
0873,406021138,APY Lands
5608,406021141,Outback
5713,406021141,Outback
5641,406021141,Outback
4741,312021351,Pioneer Valley
2145,125031713,Greystanes - South
5655,406011134,West Coast (SA)
4680,308051536,Kin Kora - Sun Valley
5713,407031159,Barmera
3646,216031418,Shepparton Surrounds - East
